Tag,Text
bank statement,"page 10f5 03/02/2022 dc 1090001004230 gs anycompany llc 999999999 16769 3 c001 11 s 66 002 arnav desai 327 graham mall, haleytown, wv 848749099 your consolidated statement contact for gguz/2072 do digital banking bank leave home . check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today . com/u example bank, member fdic . to learn, visit example.com/abcxyz 2020 anycompany llc . ifyou traveling usa concems accessing account traveling, contact branch banker call 858lll0104 summary accounts account name . agcount number details on checking 005826718227 page 1 total checking money market savings accounts $3,232 54 savings 582671822736 16,151.48 page 3 total savings accounts $16,151.48 checking money market savings accounts checking 0058267 18227 account summary your previous bal checks 09/02/2022 jbits service ch dep 2 4 6.017.82 your balance 06/17/2020 = $3,232.54 average posted balance statement cycle $13,347.68 checks date check #amount ($) amount ($) date check #amount (s) 0526 1401 oe) os 401.39 ‘ 06 26 7 fotalchecks = $701.39 “ indicates skip sequential check numbers item = page 1 1 0000667"
invoice,"anycompany retail services date mar26,2018_ llc invoice #835454096 customer id 7490 suite 984 281 greta flat due date apr 10, 2018 lake sterlingview mn 27696 phone (858) 5550101 bill to kwaku mensah 298 schuppe trafficway, krisville maine 074200164 kwaku.mensahexample.com description amount primo freedom trainer (toilet trainer) $43.19 iphone 7/8 case, hz bigtree $17.48 blonyx hmb+ creatine . 240g, 1mo . $81.77 microsoft surface 64gb tablet $336.97 total $479.41 other comments total payment due 30 days ifpaying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inguiryexample.com thank you for your business!!"
invoice,"anycompany llc 7688 florencio causeway millsburgh ne 261218244 phone (858) 5550101 bill to jorge souza 2260 blick lakes, maryrosechester south carolina 24084 jorge.souzaexample.com date dec 25, 2018 invoice #636621110 customer id 9485 due date jan 09, 2019 description amount tripar 25 . metal display $49.36 total $49.36 other comments ¢ total payment due 30 days if paying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
bank statement,"page 1of5 03/02/2022 dc 1090001004290, ge anycompany finance ltd 999999999 16769 3 c.00111 s 66.002 liu jie 84472 michal shoals, port charles, mt 388634331 your consolidated statement contact for 03/02/2022 fey exsreiecom bey s8) ll oto do digital banking bank leave home . check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today example.com/u . example bank, member fdic . to learn, visit example.com/abcxyz . 2020 anycompany finance ltd. traveling usa concerns accessing account traveling, contact branch banker call.us 858lll0101 summary accounts account name j account number . balance () ""details on checking 009218940467 11,798.18 page 1 ‘ total checking money market savings accounts . ttct * ts bah savings s2189moastse 16,177.77 page 3 total savings accounts $16,177.77 . . eb checking money market savings accounts checking 009218940467 account summary oo deposits, credits interest oe 4,045.4 your balance 06/17/2020 = $11,798.18 average posted balance statement cycle $8,583.75 checks date check #amount ($) date check #amount ($) date check #amount (s) 05261401 0.00 06/05 79651 6/09 985026 eo * indicates skip sequential check numbers item total checks = page 1 1 0000667"
bank statement,"page 10f5 03/02/2022 dc 1090001004290 . 999999999 16769 3 c 001 11 s $66002 mary major 7472 marcela villages, terrymouth, az 72510 your consolidated statement for 03/02/2022 ey anycompany credit union contact (858) lll0101 example.com (858) 5550101 do digital banking bank leave home . check account balances, make transfers, itonly lakes minute gel started today example.com/u . enrolled digital banking, pay bills deposit checks mobile device . if example bank, member fdic . to learn, visit example.com/abcxyz . 2020 . anycompany credit union hf traveling usa concerns accessit branch banker call 858lll0101 summary accounts acco! account number ing account traveling, contact balance ($) details on checking 001131510083 13,976.08 page 1 total checking money savings accounts ~ $13,976.08 savings 113151008336 19,925.76 total savings accounts . sscs $19,925.76 . checking money market savings accounts checking 001131510083 account summary your previous balance 03/02/2022 $17,349.33 bits deposits, credits interest your balance 06/17/2020 $13,976.08 checks date check #06/05 * 965025 * indicates skip sequential check numbers item 0000667 $5,655.46 average posted balance statement cycle date check #. 06/09 985026 total checks = page 1 1"
invoice,"anycompany supplies inc. suite 205 877 abe parkway north malissashire sd 601655721 phone (858) 5550101 bill to shirley rodriguez 47146 everette parks, lake arlinda colorado 620695271 shirley.rodriguezexample.com date jun 12, 2019 invoice #999038395 customer id 8139 due date jun 27, 2019 description amount indoor/outdoor decorative bird cage latern $26.03 keurig, the original donut shop, $31.64 total $57.67 other comments ¢ total payment due 30 days if paying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
receipt,sales receipt
invoice,"anycompany inc . date aug 10, 2021 apt . 558 296 strosin forks invoice #543671487 north kaitlinberg ky 604653128 customer id 4398 phone (858) 5550101 due date aug 25, 2021 bill to marcia oliveira 1311 langworth parks, south jackieborough indiana 37467 marcia.oliveiraexample.com description amount instant pot duo6o 6 qt $135.56 ny times touch crossword puzzle $39.58 force1 udi u818a camera drone $120.41? timer? flickering flameless led tea light $29.29 yamaha rxv481bl receiver (black) $472.19 total $797.03 other comments total payment due 30 days ifpaying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
salary slip,paisabazaar marketing and consulting private limited paisabazaar) senssn secon conn sees im koda payslip month june employes name emp 1d location + gurgaon grade executive designation deparment bank name bank aicno . pan date of jin an pf no . esic no . ‘ otal days 30.00 ays present + 30.00 phiweo + 0.00 ‘ dw /absene + 0.00 earnings . rate _ amount deductions rate amount basic salary 20250.00 provident fund 3800.00 hra 30125.00 laf 10.00 special allowance 992.00 total earnings + '31367.00 total deduction 1810.00 ‘ net pay 29557.00 rupees twentynine thousand five hundred fiftyseven only payment details + mode payment disbursement employee bank ‘ account no “ amount date loan detail loan name loan amount . balance amount installment amount advance 0.00 ‘ this computer generated payslipn't require signature.
employment proof,"3/15/2010 mr. mike williams century apartment complex 25 century lane springfield, mo 13243 subject letter employment verification sally smith mr. williams, sally jones employed marketing manager smith industries jan 15th, 2010 . sally's annual salary 3/1/2010 $40,000 . she works fulltime basis . please contact 1 800 555 5555 additional service . sincerely, bob smith smith industries 123 avenue north springfield, mo 12345"
bank statement,"page 1of5 03/02/2022 dc . 1090001004290 gi anycompany financial services 999999999 16769 3 c001 11 s 66.002 mateo jackson 250 ankunding ford, orvillechester, az 611848845 your consolidated statement contact for 03/02/2022 example.com fy (oo) see or0 do digital banking bank leave home . check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today example.com/u . example bank, member fdic . to learn, visit example.com/abcxyz . 2020 anycompany financial services . ifyou traveling usa concerns accessing account traveling, contact branch banker call 858lll0104 summary accounts ~ ___agcount number balances) __ details on 002190913440 11,288.07 page 1 total checking money market savings accounts $11,288.07 savings 21909134 6,284.06 _page 3 total savings accounts — ""$6,284.06 checking money market savings accounts = checking 002190913440 account summary your previous balat ck deposits, credits ir 18,4 your balance 06/17/2020 $11,288.07 average posted balance statement cycle $9,468.21 checks check #amount (s) date check #amount ($) amount ($) 40 go 06/05 ""968028 180.00 = page 1 1 0000667"
bank statement,"page 1of5 . 03/02/2022 dc 1090001004290 gi anycompany corp 999999989 16769 3 c 001 11 s 66.002 john doe 69491 machelle extensions, east dexter, nd 741085127 your consolidated statement contact 858) lll0101 for 03/02/2022 few eerie brag) kb ra! do digital banking bank leave home . check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today example.com/u . example bank, member fdic . to learn, visit example.com/abcxyz 2020 anycompany corp lf traveling usa concerns accessing account traveling, contact branch banker call 858lll0101 summary accounts account.name ""account number, ___ balance (8) ""details on . checking 008404452980 14,685.72 page1 total checking money market savings accounts $14,685.72 savings 840445298036 5,492.94 page3 total savings accounts $5,492.94 checking money market savings accounts checking 008404452980 account summary . $14,685.72 average posted balance statement cycle $12,445.28 checks date check #amount (8) date check #amount (8) check #amount (s) 05/26 4000 450.00 6/05 * 965025 101.3 985026 t—sstc~ * s “ indicates skip sequential check numbers item ~ total checks ~ = $701.39 = page 1 1 0000667"
